Postcode,Suburb,Suburb sqkm,Median House Price,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%),Number of Restuarants,Minimum Rating,Maximum Rating,Average Rating of Restuarants,Total Number of Reviews,Average Number of Reviews,Minimum Price Level,Maximum Price Level,Average Price Level
6003,Highgate,0.3873,790883,33,2100,1028,380,2296,1.0,1765,1.9,180,227,797,362,219,214,129,56,22,2206,6.6,,,,,,,,,
6003,Northbridge,0.4513,790883,31,1997,867,430,1989,1.0,1767,1.9,43,217,627,244,137,104,44,18,3,1437,7.1,,,,,,,,,
6003,Highgate,0.3873,721636,33,2100,1028,380,2296,1.0,1765,1.9,180,227,797,362,219,214,129,56,22,2206,6.6,,,,,,,,,
6003,Northbridge,0.4513,721636,31,1997,867,430,1989,1.0,1767,1.9,43,217,627,244,137,104,44,18,3,1437,7.1,,,,,,,,,
6004,East Perth,3.2048,510182,33,2167,992,435,2301,1.0,1868,1.9,664,1461,3872,1744,1384,1286,763,300,81,11555,8.6,,,,,,,,,
6005,Kings Park,4.1819,681065,65,0,1499,1000,3249,1.0,3666,1.6,0,0,0,0,0,3,5,0,0,8,0.0,,,,,,,,,
6005,West Perth,2.1895,681065,33,2000,1045,400,2329,1.0,1731,1.8,352,642,2054,907,617,510,399,191,108,5780,8.1,,,,,,,,,
6006,North Perth,3.0669,849587,37,2400,943,415,2616,0.8,2074,2.4,1381,886,1572,1315,1238,920,530,425,250,8517,5.7,,,,,,,,,
6007,Leederville,1.4558,859114,33,2300,1151,450,2794,0.8,2222,2.1,375,402,910,487,328,247,156,85,57,3047,5.6,,,,,,,,,
6007,West Leederville,1.5203,859114,36,2500,1106,400,2885,0.9,2097,2.3,613,394,788,621,474,440,317,161,98,3906,6.0,,,,,,,,,
6007,Leederville,1.4558,1273288,33,2300,1151,450,2794,0.8,2222,2.1,375,402,910,487,328,247,156,85,57,3047,5.6,,,,,,,,,
6007,West Leederville,1.5203,1273288,36,2500,1106,400,2885,0.9,2097,2.3,613,394,788,621,474,440,317,161,98,3906,6.0,,,,,,,,,
6008,Daglish,0.6345,1044677,39,2500,876,320,2444,0.9,1710,2.3,245,192,180,183,214,176,134,66,16,1406,7.8,,,,,,,,,
6008,Shenton Park,3.3268,1044677,39,2900,998,420,2936,0.9,2196,2.5,902,485,549,607,589,561,455,237,117,4502,5.5,,,,,,,,,
6008,Subiaco,3.1292,1044677,38,2400,1146,450,2888,0.9,2113,2.1,1508,934,1842,1410,1226,1128,996,481,172,9697,5.6,,,,,,,,,
6008,Daglish,0.6345,1269592,39,2500,876,320,2444,0.9,1710,2.3,245,192,180,183,214,176,134,66,16,1406,7.8,,,,,,,,,
6008,Shenton Park,3.3268,1269592,39,2900,998,420,2936,0.9,2196,2.5,902,485,549,607,589,561,455,237,117,4502,5.5,,,,,,,,,
6008,Subiaco,3.1292,1269592,38,2400,1146,450,2888,0.9,2113,2.1,1508,934,1842,1410,1226,1128,996,481,172,9697,5.6,,,,,,,,,
6008,Daglish,0.6345,1271129,39,2500,876,320,2444,0.9,1710,2.3,245,192,180,183,214,176,134,66,16,1406,7.8,,,,,,,,,
6008,Shenton Park,3.3268,1271129,39,2900,998,420,2936,0.9,2196,2.5,902,485,549,607,589,561,455,237,117,4502,5.5,,,,,,,,,
6008,Subiaco,3.1292,1271129,38,2400,1146,450,2888,0.9,2113,2.1,1508,934,1842,1410,1226,1128,996,481,172,9697,5.6,,,,,,,,,
6009,Crawley,1.4196,943273,24,2300,279,360,1649,1.1,1145,2.1,265,2081,839,301,144,169,208,147,50,4204,22.3,,,,,,,,,
6009,Dalkeith,3.0059,943273,43,4333,1201,800,4163,0.8,3817,3.1,901,669,232,428,647,526,459,210,74,4146,4.7,,,,,,,,,
6009,Nedlands,5.3244,943273,40,3160,919,500,3304,0.8,2422,2.7,1898,1593,1062,1209,1455,1390,1200,671,469,10947,6.1,,,,,,,,,
6009,Crawley,1.4196,1951092,24,2300,279,360,1649,1.1,1145,2.1,265,2081,839,301,144,169,208,147,50,4204,22.3,,,,,,,,,
6009,Dalkeith,3.0059,1951092,43,4333,1201,800,4163,0.8,3817,3.1,901,669,232,428,647,526,459,210,74,4146,4.7,,,,,,,,,
6009,Nedlands,5.3244,1951092,40,3160,919,500,3304,0.8,2422,2.7,1898,1593,1062,1209,1455,1390,1200,671,469,10947,6.1,,,,,,,,,
6009,Crawley,1.4196,1647442,24,2300,279,360,1649,1.1,1145,2.1,265,2081,839,301,144,169,208,147,50,4204,22.3,,,,,,,,,
6009,Dalkeith,3.0059,1647442,43,4333,1201,800,4163,0.8,3817,3.1,901,669,232,428,647,526,459,210,74,4146,4.7,,,,,,,,,
6009,Nedlands,5.3244,1647442,40,3160,919,500,3304,0.8,2422,2.7,1898,1593,1062,1209,1455,1390,1200,671,469,10947,6.1,,,,,,,,,
6010,Claremont,3.8719,1282132,44,2500,964,430,2821,0.8,1935,2.2,1198,1127,1018,804,1011,924,903,641,398,8024,6.1,,,,,,,,,
6010,Karrakatta,1.8775,1282132,25,0,1062,0,0,0.0,0,0.0,0,3,3,0,6,4,0,0,0,16,0.0,,,,,,,,,
6010,Mount Claremont,4.428,1282132,44,3000,814,475,3292,0.8,2138,2.7,897,645,293,520,681,612,474,296,136,4554,5.7,,,,,,,,,
6010,Swanbourne,5.2552,1282132,39,3090,1083,500,3564,0.8,2961,2.8,851,565,387,477,577,481,366,163,92,3959,3.9,,,,,,,,,
6010,Claremont,3.8719,1279030,44,2500,964,430,2821,0.8,1935,2.2,1198,1127,1018,804,1011,924,903,641,398,8024,6.1,,,,,,,,,
6010,Karrakatta,1.8775,1279030,25,0,1062,0,0,0.0,0,0.0,0,3,3,0,6,4,0,0,0,16,0.0,,,,,,,,,
6010,Mount Claremont,4.428,1279030,44,3000,814,475,3292,0.8,2138,2.7,897,645,293,520,681,612,474,296,136,4554,5.7,,,,,,,,,
6010,Swanbourne,5.2552,1279030,39,3090,1083,500,3564,0.8,2961,2.8,851,565,387,477,577,481,366,163,92,3959,3.9,,,,,,,,,
6010,Claremont,3.8719,1582618,44,2500,964,430,2821,0.8,1935,2.2,1198,1127,1018,804,1011,924,903,641,398,8024,6.1,,,,,,,,,
6010,Karrakatta,1.8775,1582618,25,0,1062,0,0,0.0,0,0.0,0,3,3,0,6,4,0,0,0,16,0.0,,,,,,,,,
6010,Mount Claremont,4.428,1582618,44,3000,814,475,3292,0.8,2138,2.7,897,645,293,520,681,612,474,296,136,4554,5.7,,,,,,,,,
6010,Swanbourne,5.2552,1582618,39,3090,1083,500,3564,0.8,2961,2.8,851,565,387,477,577,481,366,163,92,3959,3.9,,,,,,,,,
6011,Cottesloe,3.7511,1646283,42,3250,1231,550,3662,0.8,2680,2.5,1324,834,878,809,1062,976,719,331,207,7140,4.7,,,,,,,,,
6011,Peppermint Grove,1.0677,1646283,39,2817,1061,459,4146,0.8,3481,2.8,316,337,118,116,228,214,148,94,41,1612,3.5,,,,,,,,,
6011,Cottesloe,3.7511,1793549,42,3250,1231,550,3662,0.8,2680,2.5,1324,834,878,809,1062,976,719,331,207,7140,4.7,,,,,,,,,
6011,Peppermint Grove,1.0677,1793549,39,2817,1061,459,4146,0.8,3481,2.8,316,337,118,116,228,214,148,94,41,1612,3.5,,,,,,,,,
6012,Mosman Park,4.3472,1398859,40,2700,894,320,2887,0.8,1864,2.4,1491,1123,1157,1029,1258,1000,857,453,193,8561,6.1,,,,,,,,,
6014,Floreat,4.5816,1476394,40,3000,1042,600,3585,0.8,3072,3.0,1921,1015,538,1016,1298,943,488,294,182,7695,5.1,,,,,,,,,
6014,Jolimont,0.7481,1476394,54,2167,831,340,1958,0.8,1185,1.8,115,124,194,131,124,114,157,220,163,1342,5.1,,,,,,,,,
6014,Wembley,4.2523,1476394,35,2167,922,320,2433,0.9,1770,2.4,2242,1182,2057,1830,1284,1064,704,452,285,11100,6.7,,,,,,,,,
6014,Floreat,4.5816,1051971,40,3000,1042,600,3585,0.8,3072,3.0,1921,1015,538,1016,1298,943,488,294,182,7695,5.1,,,,,,,,,
6014,Jolimont,0.7481,1051971,54,2167,831,340,1958,0.8,1185,1.8,115,124,194,131,124,114,157,220,163,1342,5.1,,,,,,,,,
6014,Wembley,4.2523,1051971,35,2167,922,320,2433,0.9,1770,2.4,2242,1182,2057,1830,1284,1064,704,452,285,11100,6.7,,,,,,,,,
6014,Floreat,4.5816,1093500,40,3000,1042,600,3585,0.8,3072,3.0,1921,1015,538,1016,1298,943,488,294,182,7695,5.1,,,,,,,,,
6014,Jolimont,0.7481,1093500,54,2167,831,340,1958,0.8,1185,1.8,115,124,194,131,124,114,157,220,163,1342,5.1,,,,,,,,,
6014,Wembley,4.2523,1093500,35,2167,922,320,2433,0.9,1770,2.4,2242,1182,2057,1830,1284,1064,704,452,285,11100,6.7,,,,,,,,,
6015,City Beach,9.7978,1654765,45,3033,1023,700,3675,0.7,2925,2.9,1316,992,299,600,1109,786,537,538,255,6432,5.4,,,,,,,,,
6016,Glendalough,0.7233,480360,32,1630,609,300,1407,1.0,1243,2.1,260,295,854,368,178,169,146,80,67,2417,9.0,,,,,,,,,
6016,Mount Hawthorn,2.4425,480360,36,2500,1066,425,2874,0.9,2344,2.6,1739,719,1040,1295,1120,756,398,186,101,7354,5.7,,,,,,,,,
6016,Glendalough,0.7233,993565,32,1630,609,300,1407,1.0,1243,2.1,260,295,854,368,178,169,146,80,67,2417,9.0,,,,,,,,,
6016,Mount Hawthorn,2.4425,993565,36,2500,1066,425,2874,0.9,2344,2.6,1739,719,1040,1295,1120,756,398,186,101,7354,5.7,,,,,,,,,
6017,Herdsman,3.0248,499711,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
6017,Osborne Park,4.9862,499711,33,1733,768,300,1565,0.9,1207,2.0,465,452,1280,599,371,350,242,147,69,3975,8.4,,,,,,,,,
6018,Churchlands,1.7592,1313735,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,,,,,,,,,
6018,Doubleview,2.5994,1313735,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9,,,,,,,,,
6018,Gwelup,2.9361,1313735,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3,,,,,,,,,
6018,Innaloo,3.1826,1313735,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3,,,,,,,,,
6018,Karrinyup,6.4714,1313735,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4,,,,,,,,,
6018,Woodlands,1.9329,1313735,43,2167,725,420,2319,0.8,1644,2.5,805,502,346,472,590,412,361,399,167,4054,5.9,,,,,,,,,
6018,Churchlands,1.7592,836240,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,,,,,,,,,
6018,Doubleview,2.5994,836240,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9,,,,,,,,,
6018,Gwelup,2.9361,836240,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3,,,,,,,,,
6018,Innaloo,3.1826,836240,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3,,,,,,,,,
6018,Karrinyup,6.4714,836240,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4,,,,,,,,,
6018,Woodlands,1.9329,836240,43,2167,725,420,2319,0.8,1644,2.5,805,502,346,472,590,412,361,399,167,4054,5.9,,,,,,,,,
6018,Churchlands,1.7592,863702,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,,,,,,,,,
6018,Doubleview,2.5994,863702,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9,,,,,,,,,
6018,Gwelup,2.9361,863702,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3,,,,,,,,,
6018,Innaloo,3.1826,863702,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3,,,,,,,,,
6018,Karrinyup,6.4714,863702,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4,,,,,,,,,
6018,Woodlands,1.9329,863702,43,2167,725,420,2319,0.8,1644,2.5,805,502,346,472,590,412,361,399,167,4054,5.9,,,,,,,,,
6018,Churchlands,1.7592,552731,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,,,,,,,,,
6018,Doubleview,2.5994,552731,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9,,,,,,,,,
6018,Gwelup,2.9361,552731,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3,,,,,,,,,
6018,Innaloo,3.1826,552731,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3,,,,,,,,,
6018,Karrinyup,6.4714,552731,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4,,,,,,,,,
6018,Woodlands,1.9329,552731,43,2167,725,420,2319,0.8,1644,2.5,805,502,346,472,590,412,361,399,167,4054,5.9,,,,,,,,,
6018,Churchlands,1.7592,959110,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,,,,,,,,,
6018,Doubleview,2.5994,959110,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9,,,,,,,,,
6018,Gwelup,2.9361,959110,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3,,,,,,,,,
6018,Innaloo,3.1826,959110,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3,,,,,,,,,
6018,Karrinyup,6.4714,959110,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4,,,,,,,,,
6018,Woodlands,1.9329,959110,43,2167,725,420,2319,0.8,1644,2.5,805,502,346,472,590,412,361,399,167,4054,5.9,,,,,,,,,
6018,Churchlands,1.7592,1094153,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,,,,,,,,,
6018,Doubleview,2.5994,1094153,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9,,,,,,,,,
6018,Gwelup,2.9361,1094153,41,2500,923,500,2664,0.8,2290,2.8,1029,396,418,690,632,467,457,279,163,4531,5.3,,,,,,,,,
6018,Innaloo,3.1826,1094153,35,2167,926,410,2177,0.7,1640,2.1,958,813,2166,1121,856,753,588,427,307,7989,6.3,,,,,,,,,
6018,Karrinyup,6.4714,1094153,39,2462,828,420,2463,0.8,2102,2.7,1989,1059,974,1298,1245,922,791,541,213,9032,5.4,,,,,,,,,
6018,Woodlands,1.9329,1094153,43,2167,725,420,2319,0.8,1644,2.5,805,502,346,472,590,412,361,399,167,4054,5.9,,,,,,,,,
6019,Scarborough,4.9915,726937,34,2167,1061,400,2383,0.8,1870,2.1,2156,1520,3891,2473,1906,1533,1031,544,207,15261,5.9,,,,,,,,,
6019,Wembley Downs,4.3893,726937,40,2600,882,450,2753,0.8,2224,2.7,1335,838,495,864,912,641,534,419,128,6166,5.3,,,,,,,,,
6019,Scarborough,4.9915,1083928,34,2167,1061,400,2383,0.8,1870,2.1,2156,1520,3891,2473,1906,1533,1031,544,207,15261,5.9,,,,,,,,,
6019,Wembley Downs,4.3893,1083928,40,2600,882,450,2753,0.8,2224,2.7,1335,838,495,864,912,641,534,419,128,6166,5.3,,,,,,,,,
6020,Carine,4.6813,805572,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2,,,,,,,,,
6020,Marmion,1.146,805572,43,2500,891,500,2705,0.7,2271,2.8,451,247,179,282,304,361,261,103,38,2226,4.9,,,,,,,,,
6020,North Beach,2.142,805572,43,2485,867,350,2341,0.7,1727,2.3,596,306,389,447,451,455,394,176,66,3280,5.7,,,,,,,,,
6020,Sorrento,3.5754,805572,45,2400,851,500,2648,0.7,2241,2.7,1283,933,518,778,1131,1132,914,337,121,7147,6.1,,,,,,,,,
6020,Watermans Bay,1.2165,805572,46,2134,941,400,2453,0.8,1927,2.4,204,116,125,149,168,206,160,70,29,1227,5.3,,,,,,,,,
6020,Carine,4.6813,1014025,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2,,,,,,,,,
6020,Marmion,1.146,1014025,43,2500,891,500,2705,0.7,2271,2.8,451,247,179,282,304,361,261,103,38,2226,4.9,,,,,,,,,
6020,North Beach,2.142,1014025,43,2485,867,350,2341,0.7,1727,2.3,596,306,389,447,451,455,394,176,66,3280,5.7,,,,,,,,,
6020,Sorrento,3.5754,1014025,45,2400,851,500,2648,0.7,2241,2.7,1283,933,518,778,1131,1132,914,337,121,7147,6.1,,,,,,,,,
6020,Watermans Bay,1.2165,1014025,46,2134,941,400,2453,0.8,1927,2.4,204,116,125,149,168,206,160,70,29,1227,5.3,,,,,,,,,
6020,Carine,4.6813,1038235,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2,,,,,,,,,
6020,Marmion,1.146,1038235,43,2500,891,500,2705,0.7,2271,2.8,451,247,179,282,304,361,261,103,38,2226,4.9,,,,,,,,,
6020,North Beach,2.142,1038235,43,2485,867,350,2341,0.7,1727,2.3,596,306,389,447,451,455,394,176,66,3280,5.7,,,,,,,,,
6020,Sorrento,3.5754,1038235,45,2400,851,500,2648,0.7,2241,2.7,1283,933,518,778,1131,1132,914,337,121,7147,6.1,,,,,,,,,
6020,Watermans Bay,1.2165,1038235,46,2134,941,400,2453,0.8,1927,2.4,204,116,125,149,168,206,160,70,29,1227,5.3,,,,,,,,,
6020,Carine,4.6813,1031236,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2,,,,,,,,,
6020,Marmion,1.146,1031236,43,2500,891,500,2705,0.7,2271,2.8,451,247,179,282,304,361,261,103,38,2226,4.9,,,,,,,,,
6020,North Beach,2.142,1031236,43,2485,867,350,2341,0.7,1727,2.3,596,306,389,447,451,455,394,176,66,3280,5.7,,,,,,,,,
6020,Sorrento,3.5754,1031236,45,2400,851,500,2648,0.7,2241,2.7,1283,933,518,778,1131,1132,914,337,121,7147,6.1,,,,,,,,,
6020,Watermans Bay,1.2165,1031236,46,2134,941,400,2453,0.8,1927,2.4,204,116,125,149,168,206,160,70,29,1227,5.3,,,,,,,,,
6020,Carine,4.6813,1170767,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2,,,,,,,,,
6020,Marmion,1.146,1170767,43,2500,891,500,2705,0.7,2271,2.8,451,247,179,282,304,361,261,103,38,2226,4.9,,,,,,,,,
6020,North Beach,2.142,1170767,43,2485,867,350,2341,0.7,1727,2.3,596,306,389,447,451,455,394,176,66,3280,5.7,,,,,,,,,
6020,Sorrento,3.5754,1170767,45,2400,851,500,2648,0.7,2241,2.7,1283,933,518,778,1131,1132,914,337,121,7147,6.1,,,,,,,,,
6020,Watermans Bay,1.2165,1170767,46,2134,941,400,2453,0.8,1927,2.4,204,116,125,149,168,206,160,70,29,1227,5.3,,,,,,,,,
6021,Balcatta,7.0539,524628,38,1887,668,350,1688,0.7,1313,2.3,1566,1078,1945,1372,1193,961,935,787,351,10188,7.2,,,,,,,,,
6021,Stirling,4.8489,524628,40,2300,781,400,2261,0.7,1997,2.8,1724,1123,1261,1349,1341,1184,926,534,184,9626,6.5,,,,,,,,,
6021,Balcatta,7.0539,829877,38,1887,668,350,1688,0.7,1313,2.3,1566,1078,1945,1372,1193,961,935,787,351,10188,7.2,,,,,,,,,
6021,Stirling,4.8489,829877,40,2300,781,400,2261,0.7,1997,2.8,1724,1123,1261,1349,1341,1184,926,534,184,9626,6.5,,,,,,,,,
6022,Hamersley,3.3065,560257,40,2000,749,400,1891,0.7,1614,2.6,929,493,670,707,577,563,622,262,50,4873,6.0,,,,,,,,,
