Postcode,Suburb,Suburb sqkm,Median House Price,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%),Number of restaurants,Minimum Rating,Maximum Rating,Average Rating of restaurants,Total Number of Reviews,Average Number of Reviews,Minimum Price Level,Maximum Price Level,Average Price Level,Restaurant Density
6064,Alexander Heights,3.1816,453285,37,1800,625,390,1704,0.8,1590,3.0,1563,1173,997,1032,1163,1056,515,281,64,7844,8.8,24.0,3.4,4.8,4.179166666666666,4189.0,174.54166666666666,1.0,2.0,0.7083333333333334,7.543374402816193
6154,Alfred Cove,1.0566,840087,39,2420,852,443,2542,0.8,2088,2.6,523,279,280,363,341,286,222,121,57,2472,4.4,54.0,0.0,5.0,4.268518518518518,12506.0,231.59259259259258,1.0,2.0,1.1851851851851851,51.10732538330494
6038,Alkimos,17.1744,413750,28,2249,930,360,2094,0.7,1942,2.8,1623,866,1537,944,655,288,181,41,3,6138,6.6,6.0,3.3,4.6,4.133333333333333,1354.0,225.66666666666666,2.0,2.0,0.6666666666666666,0.34935718278367806
6167,Anketell,6.822,1008763,45,1733,641,420,1958,0.8,1721,2.8,36,40,17,28,34,40,29,3,0,227,2.4,60.0,3.5,4.6,4.126666666666667,19010.0,316.8333333333333,1.0,2.0,1.4166666666666667,8.795074758135444
6153,Applecross,3.1954,1376690,43,2916,954,460,2764,0.7,2186,2.5,1072,875,772,789,908,926,714,412,207,6675,6.0,60.0,3.5,4.8,4.304999999999999,17894.0,298.23333333333335,1.0,3.0,1.35,18.776991925893473
6153,Ardross,2.2591,1072145,41,2500,804,470,2390,0.7,1992,2.6,767,583,434,527,559,604,367,210,109,4160,6.9,60.0,3.4,4.8,4.244999999999999,17879.0,297.98333333333335,1.0,3.0,1.35,26.55924925855429
6112,Armadale,8.3705,246611,37,1400,507,300,1154,0.8,958,2.3,2682,1747,1947,1583,1542,1525,1243,823,344,13436,14.6,60.0,2.6,5.0,4.07,10746.0,179.1,1.0,2.0,0.8166666666666667,7.168030583597157
6104,Ascot,3.7614,803359,42,2167,888,400,2221,0.7,1851,2.4,351,306,382,367,409,434,299,105,25,2678,5.3,30.0,3.4,4.9,4.12,12345.0,411.5,1.0,3.0,1.3666666666666667,7.975753708725474
6065,Ashby,1.403,483322,36,2167,691,405,1888,0.7,1417,2.5,556,276,387,388,273,205,214,207,45,2551,6.4,2.0,4.1,4.7,4.4,850.0,425.0,2.0,2.0,1.0,1.4255167498218104
6054,Ashfield,0.8022,484939,38,1842,613,300,1649,0.7,1288,2.4,237,123,231,200,170,137,100,76,22,1296,10.8,60.0,0.0,5.0,4.085,13544.0,225.73333333333332,1.0,2.0,0.7833333333333333,74.79431563201196
