SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50001,Abba River,Abba River,6280,28.5156,35,2167,675,220,1583,0.6,1593,3.2,17,7,5,18,10,5,4,0,0,66,0
SSC50002,Abbey,Abbey,6280,2.6436,39,1950,665,400,1730,0.7,1483,2.7,303,112,125,163,174,144,119,56,14,1210,5
SSC50003,Acton Park,Acton Park (WA),6280,24.8542,40,1617,756,185,1843,0.8,1542,2.7,25,10,14,12,12,16,7,4,0,100,8
SSC50004,Adamsvale,Adamsvale,6375,246.5202,43,0,1625,0,3499,0.4,2499,1.7,7,0,5,7,4,5,3,0,0,31,0
SSC50005,Ajana,Ajana,6532,727.8242,37,0,478,40,1312,0.7,1312,2.8,19,8,10,6,14,42,51,14,0,164,0
SSC50006,Albany,Albany,6330,1.804,53,1730,663,300,1678,0.7,1243,2,152,130,164,118,225,281,214,89,43,1416,3.1
SSC50007,Aldersyde,Aldersyde,6306,389.8405,43,0,1093,0,1874,0.7,1624,2.4,5,6,6,7,11,7,12,0,0,54,0
SSC50008,Alexander Heights,Alexander Heights,6064,3.1816,37,1800,625,390,1704,0.8,1590,3,1563,1173,997,1032,1163,1056,515,281,64,7844,8.8
SSC50009,Alexandra Bridge,Alexandra Bridge,6288,6.6011,61,0,725,0,0,0,0,2,0,0,0,0,0,4,0,0,3,7,0
SSC50010,Alfred Cove,Alfred Cove,6154,1.0566,39,2420,852,443,2542,0.8,2088,2.6,523,279,280,363,341,286,222,121,57,2472,4.4
SSC50011,Alkimos,Alkimos,6038,17.1744,28,2249,930,360,2094,0.7,1942,2.8,1623,866,1537,944,655,288,181,41,3,6138,6.6
SSC50012,Allanooka,Allanooka,6525,323.5837,50,0,680,0,1437,0,1375,2,4,0,0,3,3,6,0,0,0,16,0
SSC50013,Allanson,Allanson,6225,24.7963,40,1733,624,250,2017,0.7,1718,2.6,140,62,50,77,99,95,44,14,4,585,8.9
SSC50014,Alma,Alma (WA),6535,342.0052,47,1928,640,90,1312,0.7,982,2.6,28,5,13,16,16,20,17,3,0,118,0
SSC50015,Ambania,Ambania,6632,327.8554,36,0,500,0,0,0,0,0,3,0,0,5,0,0,0,0,0,8,0
SSC50016,Ambergate,Ambergate,6280,38.395,39,2104,683,225,2095,0.8,2026,3,118,52,31,71,75,55,42,7,5,456,7.9
SSC50017,Amelup,Amelup,6338,402.4411,49,0,1531,0,2750,0.7,2749,2.5,3,0,3,9,9,17,7,5,0,53,0
SSC50018,Angelo River,Angelo River,6642,13971.8027,45,0,630,0,0,0,0,0,0,3,3,4,10,0,0,0,0,20,0
SSC50019,Anketell,Anketell,6167,6.822,45,1733,641,420,1958,0.8,1721,2.8,36,40,17,28,34,40,29,3,0,227,2.4
SSC50020,Anniebrook,Anniebrook,6280,13.2628,50,2137,518,162,1624,0.7,1625,2.8,8,5,5,6,14,7,11,3,0,59,8.1
SSC50021,Antonymyre,Antonymyre,6714,25.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,Applecross,Applecross,6153,3.1954,43,2916,954,460,2764,0.7,2186,2.5,1072,875,772,789,908,926,714,412,207,6675,6
SSC50023,Ardath,Ardath,6419,358.3108,45,0,612,109,1125,0.7,966,2.2,15,3,3,8,15,10,3,4,0,61,0
SSC50024,Ardross,Ardross,6153,2.2591,41,2500,804,470,2390,0.7,1992,2.6,767,583,434,527,559,604,367,210,109,4160,6.9
SSC50025,Argyle,Argyle (WA),6239,13.7926,45,1950,673,325,1906,0.8,1731,2.8,117,52,28,69,91,86,63,15,7,528,3
SSC50026,Armadale,Armadale (WA),6112,8.3705,37,1400,507,300,1154,0.8,958,2.3,2682,1747,1947,1583,1542,1525,1243,823,344,13436,14.6
SSC50027,Arrino,Arrino,6519,398.7258,46,0,425,0,899,0.8,725,2.2,13,0,4,3,6,9,11,0,0,46,0
SSC50028,Arrowsmith,Arrowsmith,6525,820.6703,34,0,724,0,2124,1,1499,1.5,0,0,5,4,3,0,12,3,0,27,0
SSC50029,Arrowsmith East,Arrowsmith East,6519,812.0108,35,0,1156,0,2749,0.8,2250,2.7,16,0,10,8,8,6,0,0,0,48,0
SSC50030,Arthur River,Arthur River (WA),6315,477.2563,47,434,556,0,1406,0.7,1350,2.5,18,7,8,3,28,13,10,8,4,99,0
SSC50031,Ascot,Ascot (WA),6104,3.7614,42,2167,888,400,2221,0.7,1851,2.4,351,306,382,367,409,434,299,105,25,2678,5.3
SSC50032,Ashby,Ashby (WA),6065,1.403,36,2167,691,405,1888,0.7,1417,2.5,556,276,387,388,273,205,214,207,45,2551,6.4
SSC50033,Ashendon,Ashendon,6111,210.5252,14,0,949,0,0,0,0,0,9,0,4,0,0,0,0,0,0,13,0
SSC50034,Ashfield,Ashfield (WA),6054,0.8022,38,1842,613,300,1649,0.7,1288,2.4,237,123,231,200,170,137,100,76,22,1296,10.8
SSC50035,Attadale,Attadale,6156,3.102,41,2500,920,420,2741,0.8,2181,2.7,1216,909,544,753,973,719,528,379,176,6197,5.8
SSC50036,Atwell,Atwell,6164,3.5414,33,2100,829,430,2304,0.8,2201,3.2,2357,1274,1115,1702,1330,621,362,139,26,8926,6.7
SSC50037,Aubin Grove,Aubin Grove,6164,2.4726,31,2232,937,440,2281,0.8,2213,3.2,1889,635,1189,1249,578,324,163,90,68,6185,6.1
SSC50038,Augusta,Augusta,6290,29.9444,59,1517,486,230,1093,0.7,846,2,126,105,84,103,185,263,256,163,70,1355,7.8
SSC50039,Australind,Australind,6233,23.0618,34,1847,691,350,1840,0.7,1631,2.8,3615,1617,1936,1961,1731,1425,1040,486,142,13953,8.5
