location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,10000,10000,Albany Hwy After Armadale Rd,,-32.14791418,116.020204,4,Bus
0,,10001,10001,Albany Hwy After Frys L,,-32.14495377,116.0183152,3,Bus
0,,10002,10002,Albany Hwy After Clarence Rd,,-32.14205846,116.0172205,3,Bus
0,,10003,10003,Albany Hwy After Rogers L,,-32.13911389,116.0173822,3,Bus
0,,10004,10004,Albany Hwy After Galliers Av,,-32.13649428,116.017609,3,Bus
0,,10005,10005,Albany Hwy Armadale Kelmscott Hospital,Armadale Health Service,-32.13358451,116.0177661,3,Bus
0,,10006,10006,Albany Hwy After Lilian Av,,-32.13039701,116.0180598,3,Bus
0,,10007,10007,Albany Hwy After Valentine Rd,,-32.12777835,116.0183211,3,Bus
0,,10008,10008,Albany Hwy After Foster Rd,,-32.12359027,116.017888,3,Bus
0,,10009,10009,Albany Hwy Before Church St,Albany Hwy / Church St,-32.11973944,116.0172933,3,Bus
0,,10010,10010,Albany Hwy After Davis Rd,Albany Hwy / Denny Av,-32.11652728,116.0158706,3,Bus
0,,10011,10011,Albany Hwy - Kelmscott Stargate Shopping Ctr,Albany Hwy / Streich Av,-32.11229556,116.0134744,3,Bus
0,,10012,10012,Albany Hwy After Page Rd,,-32.11007439,116.0128425,3,Bus
0,,10013,10013,Albany Hwy After Turner Pl,,-32.10823889,116.0126283,3,Bus
0,,10015,10015,Albany Hwy After Centre Rd,,-32.10226909,116.0120417,3,Bus
0,,10016,10016,Albany Hwy Before Lake Rd,,-32.09867722,116.012625,3,Bus
0,,10017,10017,Albany Hwy After Lake Rd,,-32.09529722,116.0131733,3,Bus
0,,10019,10019,Albany Hwy After Tonkin Hwy,,-32.08649342,116.0116796,3,Bus
0,,10020,10020,Albany Hwy After Manning Av,,-32.08465787,116.011301,3,Bus
0,,10021,10021,Albany Hwy After Ferres Dr,,-32.08086667,116.0102767,3,Bus
0,,10022,10022,Albany Hwy Before Verna Street,,-32.07834,116.0085456,3,Bus
0,,10023,10023,Albany Hwy Before Clara St,,-32.07624033,116.0068159,3,Bus
0,,10024,10024,Albany Hwy After Gerald St,,-32.07366278,116.0042978,3,Bus
0,,10025,10025,Albany Hwy After Dorothy St,Albany Hwy / Dorothy St,-32.07149504,116.0016418,3,Bus
0,,10026,10026,Albany Hwy After Main St,,-32.06942614,115.9995293,3,Bus
0,,10027,10027,Albany Hwy After Gosnells Rd,Albany Hwy / Gosnells Rd West,-32.06219556,115.9977278,3,Bus
0,,10028,10028,Albany Hwy Before Pitchford Av,,-32.06103985,115.9964336,3,Bus
0,,10029,10029,Albany Hwy After Helm St,,-32.05865353,115.9934525,3,Bus
0,,10030,10030,Albany Hwy Before The Crescent,,-32.05747242,115.9917786,2,Bus
0,,10031,10031,Albany Hwy After River Av,,-32.05547989,115.9890851,2,Bus
0,,10032,10032,Albany Hwy Before Dalziell St,,-32.05396477,115.9873068,2,Bus
0,,10034,10034,Albany Hwy After The Strand,Albany Hwy / Olga Rd,-32.05064196,115.9827271,2,Bus
0,,10035,10035,Albany Hwy After Herbert St,Albany Hwy / Herbert St,-32.04911214,115.9788102,2,Bus
0,,10036,10036,Albany Hwy After Kenwick Link,Albany Hwy / Austin Av,-32.04579833,115.9745561,2,Bus
0,,10037,10037,Albany Hwy After Ozich Ct,,-32.0440738,115.9734595,2,Bus
0,,10038,10038,Albany Hwy Before Liddelow St,,-32.04191389,115.9719906,2,Bus
0,,10039,10039,Albany Hwy After Cooper Av,,-32.03911097,115.9701243,2,Bus
0,,10040,10040,Albany Hwy After Royal St,Albany Hwy / Royal St,-32.03604214,115.9679742,2,Bus
0,,10041,10041,Albany Hwy After Roe Hwy,,-32.03182389,115.9639472,2,Bus
0,,10042,10042,Albany Hwy After Harris St,,-32.02874783,115.9580428,2,Bus
0,,10043,10043,Albany Hwy After Beckenham St,,-32.02819222,115.9539744,2,Bus
0,,10044,10044,Albany Hwy After Clapham St,,-32.02785731,115.9516528,2,Bus
0,,10045,10045,Albany Hwy Before Highbury Cr,,-32.02735833,115.9475561,2,Bus
0,,10047,10047,Albany Hwy After Nicholson Rd,,-32.02639833,115.9432444,2,Bus
0,,10048,10048,Albany Hwy Before River Rd,,-32.02525889,115.9415333,2,Bus
0,,10049,10049,Albany Hwy After Liege St,Carousel Shop Ctr / Liege St,-32.02210956,115.9381251,2,Bus
0,,10050,10050,Albany Hwy - Carousel Shopping Ctr,Carousel Shop Ctr / Albany Hwy,-32.01921469,115.93557,2,Bus
0,,10051,10051,Albany Hwy After Mason St,,-32.01719818,115.9329857,2,Bus;School Bus
0,,10052,10052,Albany Hwy After Wharf St,Albany Hwy / George St,-32.01616876,115.9303032,2,Bus;School Bus
0,,10053,10053,Albany Hwy After Manning Rd,,-32.01248444,115.9270084,2,Bus
0,,10054,10054,Albany Hwy After Hamilton St,,-32.01065068,115.9256785,2,Bus
0,,10055,10055,Albany Hwy After Burton St,,-32.00877535,115.9243292,2,Bus
0,,10056,10056,Albany Hwy After Leach Hwy,,-32.00659598,115.9229184,2,Bus
0,,10057,10057,Albany Hwy After Bedford St,Bentley Plaza,-32.00370672,115.9204896,1,Bus
0,,10058,10058,Albany Hwy After Coolgardie St,,-32.00060684,115.9178428,1,Bus
0,,10059,10059,Albany Hwy After Walpole St,,-31.9981023,115.9157958,1,Bus
0,,10060,10060,Albany Hwy After Boundary Rd,,-31.99573308,115.9140758,1,Bus
0,,10062,10062,Shepperton Rd After Somerset St,Shepperton Rd / Somerset St,-31.98858257,115.9101554,1,Bus;School Bus
0,,10063,10063,Shepperton Rd Before Dane St,,-31.9862202,115.9086094,1,Bus;School Bus
0,,10064,10064,Shepperton Rd After Mint St,,-31.98190754,115.905727,1,Bus;School Bus
0,,10065,10065,Shepperton Rd Before Miller St,,-31.9791462,115.9039058,1,Bus;School Bus
0,,10066,10066,Shepperton Rd After Gresham St,,-31.97643938,115.9014035,1,Bus;School Bus
0,,10067,10067,Shepperton Rd After Axon Av,,-31.97469484,115.8997566,1,Bus;School Bus
0,,10068,10068,Shepperton Rd Before Harper St,,-31.97256959,115.8975986,1,Bus
0,,10069,10069,Shepperton Rd Before Rushton St,,-31.97056021,115.8950215,1,Bus
0,13,10070,10070,Victoria Park Transfer Stn Stand E,Victoria Park Transfer Stn,-31.96825722,115.8888722,1,Bus
0,144,10071,10071,Adelaide Tce Westend Causeway,Adelaide Tce / Westend Cway,-31.96155193,115.8767716,FTZ,Bus
0,,10072,10072,Adelaide Tce After Plain St,,-31.96059111,115.8739111,FTZ,Bus
0,,10073,10073,Adelaide Tce After Bennett St,,-31.95950392,115.8705749,FTZ,Bus
0,,10074,10074,Adelaide Tce After Hill St,St Georges Tce / Victoria Av,-31.95822063,115.866641,FTZ,Bus;School Bus
0,107,10075,10075,St Georges Tce Stand M - After Victoria Av,,-31.95735062,115.8642419,FTZ,Bus
0,107,10076,10076,St Georges Tce Stand N - After Victoria Av,,-31.95729035,115.8640701,FTZ,Bus;School Bus
0,105,10078,10078,St Georges Tce Stand O - After Irwin St,,-31.95665243,115.8621569,FTZ,Bus
0,105,10079,10079,St Georges Tce Stand S - After Irwin St,,-31.95658362,115.8619382,FTZ,Bus
0,103,10080,10080,St Georges Tce Stand T - Before Barrack St,,-31.95629658,115.8610526,FTZ,Bus
0,103,10081,10081,St Georges Tce Stand M - Before Barrack St,,-31.95618389,115.8607229,FTZ,Bus
0,103,10082,10082,St Georges Tce Stand N - Before Barrack St,,-31.95597761,115.860102,FTZ,Bus;School Bus
0,111,10084,10084,St Georges Tce Stand O - After Barrack St,,-31.95553007,115.8587792,FTZ,Bus
0,112,10085,10085,St Georges Tce Stand T - After Sherwood Ct,,-31.95536222,115.8582722,FTZ,Bus
0,112,10086,10086,St Georges Tce Stand S - After Sherwood Ct,,-31.95527506,115.8580025,FTZ,Bus
0,112,10087,10087,St Georges Tce Stand M - Before Howard St,,-31.95521255,115.8578023,FTZ,Bus
0,,10088,10088,St Georges Tce Stand N - Before William St,St Georges Tce / William St,-31.95492111,115.8569217,FTZ,Bus;School Bus
0,116,10089,10089,St Georges Tce Stand O / T - After William St,St Georges Tce / Westralia Square,-31.95422534,115.8547178,FTZ,Bus
0,116,10090,10090,St Georges Tce Stand S - After William St,St Georges Tce / Westralia Square,-31.95416038,115.8545198,FTZ,Bus
0,,10091,10091,St Georges Tce Mill St Green Cat 2,St Georges Tce / Mill St,-31.95338722,115.8521689,FTZ,Bus
0,,10092,10092,St Georges Tce Milligan St Green Cat 3,,-31.95278873,115.8502246,FTZ,Bus
0,,10093,10093,Malcolm St Harvest Tce Green Cat 4,Malcolm St / Mitchell Fwy,-31.95303335,115.8474694,FTZ,Bus
0,,10094,10094,Kings Park Rd Havelock St Green Cat 5,Dumas House,-31.95377005,115.8429707,FTZ,Bus
0,,10095,10095,Kings Park Rd Before Colin St,,-31.95292778,115.8404344,FTZ,Bus
0,,10096,10096,Kings Park Rd Before Outram St,,-31.9522207,115.8382646,FTZ,Bus
0,,10097,10097,Kings Park Rd Before Walker Av,,-31.951595,115.8363533,FTZ,Bus
0,,10098,10098,Kings Park Rd Before Thomas St,Kings Park Rd / Thomas St,-31.95100642,115.8345504,FTZ,Bus
0,,10099,10099,Bagot Rd Before Bedford Av,,-31.95055056,115.83169,1,Bus
0,,10100,10100,Bagot Rd Before Townshend Rd,,-31.95052396,115.8288989,1,Bus
0,,10101,10101,Bagot Rd Before Denis St,,-31.95046102,115.8222553,1,Bus
0,,10102,10102,Bagot Rd After Hensman Rd,,-31.9504287,115.81909,1,Bus
0,,10103,10103,Bagot Rd After Douglas Av,,-31.95041014,115.8173125,1,Bus
0,,10104,10104,Bagot Rd After Railway Rd,,-31.95028984,115.8168373,1,Bus
0,,10105,10105,Bagot Rd Before Hensman Rd,,-31.95032302,115.8188878,1,Bus
0,,10106,10106,Bagot Rd Before Rowland St,Bagot Rd / Rokeby Rd,-31.95034844,115.8229095,1,Bus
0,,10107,10107,Bagot Rd Before Francis St,,-31.95042156,115.8291209,1,Bus
0,,10108,10108,Kings Park Rd After Thomas St,Kings Park Rd / Thomas St,-31.95072916,115.8344972,FTZ,Bus
0,,10109,10109,Kings Park Rd After Walker Av,Kings Park Rd / Thomas St,-31.95137238,115.836446,FTZ,Bus
0,,10110,10110,Kings Park Rd Before Outram St,,-31.95185014,115.8379196,FTZ,Bus
0,,10111,10111,Kings Park Rd Before Colin St,,-31.95256278,115.8400167,FTZ,Bus
0,,10113,10113,Kings Park Rd Havelock St Green Cat 17,Dumas House,-31.95358092,115.843222,FTZ,Bus
0,,10114,10114,Malcolm St Harvest Tce Green Cat 18,Malcolm St / Mitchell Fwy,-31.95277333,115.8475683,FTZ,Bus
0,,10115,10115,St Georges Tce Milligan St Green Cat 19,,-31.95250499,115.8500572,FTZ,Bus
0,,10116,10116,St Georges Tce After Milligan St,St Georges Tce / Mill St,-31.95337667,115.8526344,FTZ,Bus
0,,10117,10117,St Georges Tce Mill St Green Cat 20,,-31.95311222,115.8519156,FTZ,Bus
0,115,10118,10118,St Georges Tce Stand A - Before William St,,-31.95431,115.855575,FTZ,Bus
0,115,10119,10119,St Georges Tce Stand E - Before William St,St Georges Tce / William St,-31.95432722,115.8556439,FTZ,Bus
0,115,10121,10121,St Georges Tce Stand B / C - Before William St,St Georges Tce / William St,-31.95445611,115.8560383,FTZ,Bus
0,115,10122,10122,St Georges Tce Stand D - Before William St,St Georges Tce / William St,-31.95455944,115.8563389,FTZ,Bus
0,113,10123,10123,St Georges Tce Stand A / E- After William St,,-31.95497768,115.8576025,FTZ,Bus
0,113,10124,10124,St Georges Tce Stand C - After William St,,-31.95507056,115.8578861,FTZ,Bus
